OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1078	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1040	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Unassigned	Unassigned
OTU_1080	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_986	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_intermedia_SH024156.07FU
OTU_1094	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1021	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Tetracladium	Unassigned
OTU_1053	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Unassigned	Unassigned
OTU_1098	Fungi	Basidiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1055	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Unassigned	Unassigned
OTU_1095	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1044	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Unassigned
OTU_1048	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	GS05	Unassigned	Unassigned	Unassigned
OTU_1047	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unassigned	Unassigned	Unassigned
OTU_1056	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_symmetricus_SH205939.07FU
OTU_1105	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1057	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unassigned	Unassigned	Unassigned
OTU_1107	Fungi	Basidiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1112	Fungi	Basidiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1092	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	Ochroconis_minima_SH207896.07FU
OTU_1089	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Unassigned	Unassigned
OTU_1101	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Setosphaeria	Setosphaeria_pedicellata_SH187640.07FU
OTU_1093	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unassigned	Unassigned	Unassigned
OTU_1155	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1153	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1110	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1115	Fungi	Basidiomycota	Agaricomycetes	Boletales	Coniophoraceae	Coniophora	Coniophora_eremophila_SH527187.07FU
OTU_1116	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unassigned	Unassigned	Unassigned
OTU_1156	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1159	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1127	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1154	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Unassigned	Unassigned
OTU_1158	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1151	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella_cucumerina_SH190986.07FU
OTU_1164	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1135	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_vermiculifer_SH030841.07FU
OTU_1104	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unassigned	Unassigned
OTU_1106	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Unassigned
OTU_1157	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unassigned	Unassigned	Unassigned
OTU_1134	Fungi	Ascomycota	Sordariomycetes	Microascales	Unassigned	Unassigned	Unassigned
OTU_1141	Fungi	Ascomycota	Sordariomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1175	Fungi	Ascomycota	Sordariomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1180	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	Ramicandelaber_longisporus_SH001831.07FU
OTU_1125	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Unassigned	Unassigned
OTU_1191	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1205	Fungi	Basidiomycota	Agaricomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1210	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1136	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Kockovaella	Kockovaella_lichenicola_SH176359.07FU
OTU_1170	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unassigned
OTU_1182	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1162	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1178	Fungi	Ascomycota	Sordariomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1197	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1166	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Kernia	Kernia_pachypleura_SH013616.07FU
OTU_1225	Fungi	Ascomycota	Sordariomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1177	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unassigned	Unassigned	Unassigned
OTU_1230	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1268	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Unassigned	Unassigned
OTU_1266	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1190	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Unassigned	Unassigned	Unassigned
OTU_1255	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unassigned	Unassigned
OTU_1270	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1226	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Unassigned	Unassigned
OTU_1261	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_carnescens_SH181629.07FU
OTU_1194	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Unassigned
OTU_1233	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Unassigned
OTU_1228	Fungi	Ascomycota	Orbiliomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1183	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Vanrija	Vanrija_humicola_SH211660.07FU
OTU_1264	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1280	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1276	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_polysporum_SH229440.07FU
OTU_1244	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_acutatum_SH195612.07FU
OTU_1245	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1290	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1294	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1284	Fungi	Ascomycota	Sordariomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1314	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Xenoacremonium	Xenoacremonium_falcatum_SH631030.07FU
OTU_1298	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1257	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unassigned	Unassigned	Unassigned
OTU_1277	Fungi	Ascomycota	Leotiomycetes	Leotiomycetes_ord_Incertae_sedis	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_roseus_SH183329.07FU
OTU_1285	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1305	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1323	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1311	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1313	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1272	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unassigned
OTU_1293	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1278	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unassigned	Unassigned	Unassigned
OTU_1292	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Actinomucor	Unassigned
OTU_1282	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_melinii_SH207150.07FU
OTU_1288	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_tropicalis_SH018611.07FU
OTU_1327	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Staphylotrichum	Staphylotrichum_coccosporum_SH195313.07FU
OTU_1341	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1388	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1371	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1295	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola_SH211091.07FU
OTU_1315	Fungi	Ascomycota	Sordariomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1312	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	Ochroconis_tshawytschae_SH215774.07FU
OTU_1387	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
