Sorangium	Agromyces	Solirubrobacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Phenylobacterium	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Aquihabitans	Haliangium	g__Apodus	Knoellia	Sporosarcina	Sporichthya	Nitrospira	Cellvibrio	Peredibacter	Rhodoligotrophos	Ramlibacter	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Labilithrix	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Rubrobacter	Luteivirga	Acidiphilium
Rhodoligotrophos	0.833333333333333	0.952380952380953	0.952380952380953	0.857142857142857	1	0.785714285714286	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.833333333333333	0.952380952380953	0.874267171196679	0.976190476190476	0.833333333333333	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	1	0.857142857142857	0.886243433815812	0.934148484292342	0.880952380952381	0.952380952380953	0.80952380952381	0.880952380952381	0.952380952380953	0.850314645958414	0.850314645958414	0.80952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.934148484292342
Ramlibacter	0.928571428571429	0.952380952380953	0.952380952380953	0.880952380952381	0.857142857142857	0.976190476190476	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.952380952380953	0.952380952380953	0.874267171196679	0.904761904761905	0.880952380952381	0.80952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	1	0.730552019767088	0.778457070243618	0.80952380952381	0.952380952380953	0.904761904761905	0.80952380952381	0.80952380952381	0.826362120720149	0.802409595481884	0.904761904761905	0.904761904761905	0.833333333333333	0.976190476190476	0.778457070243618
Ohtaekwangia	0.814385858101016	0.874267171196679	0.874267171196679	0.874267171196679	0.886243433815812	0.69462323190969	0.850314645958414	0.910195959054077	0.910195959054077	0.886243433815812	0.910195959054077	0.742528282386221	0.874267171196679	0.813253012048193	0.850314645958414	0.862290908577547	0.97007727214974	0.850314645958414	0.898219696434944	0.874267171196679	0.886243433815812	0.730552019767088	1	0.975903614457831	0.958101009530607	0.874267171196679	0.802409595481884	0.958101009530607	0.97007727214974	0.753012048192771	0.94578313253012	0.802409595481884	0.850314645958414	0.766480807624486	0.790433332862751	0.975903614457831
Oscillochloris	0.790433332862751	0.898219696434944	0.898219696434944	0.850314645958414	0.934148484292342	0.718575757147955	0.874267171196679	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.790433332862751	0.898219696434944	0.897590361445783	0.874267171196679	0.814385858101016	0.994029797388005	0.874267171196679	0.874267171196679	0.850314645958414	0.934148484292342	0.778457070243618	0.975903614457831	1	0.910195959054077	0.898219696434944	0.778457070243618	0.910195959054077	0.994029797388005	0.716867469879518	0.885542168674699	0.778457070243618	0.874267171196679	0.742528282386221	0.814385858101016	1
Nannocystis	0.928571428571429	0.928571428571429	0.928571428571429	0.952380952380953	0.880952380952381	0.785714285714286	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.80952380952381	0.928571428571429	0.778457070243618	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.80952380952381	0.958101009530607	0.910195959054077	1	0.928571428571429	0.880952380952381	1	0.928571428571429	0.874267171196679	0.994029797388005	0.880952380952381	0.904761904761905	0.880952380952381	0.880952380952381	0.910195959054077
Methyloceanibacter	0.952380952380953	1	1	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	1	0.898219696434944	0.976190476190476	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.898219696434944
Streptosporangium	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.80952380952381	0.952380952380953	0.880952380952381	0.833333333333333	0.833333333333333	0.80952380952381	0.833333333333333	0.785714285714286	0.904761904761905	0.730552019767088	0.880952380952381	0.976190476190476	0.785714285714286	0.880952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.904761904761905	0.802409595481884	0.778457070243618	0.880952380952381	0.904761904761905	1	0.880952380952381	0.785714285714286	0.886243433815812	0.910195959054077	1	0.880952380952381	0.857142857142857	0.880952380952381	0.778457070243618
Amaricoccus	0.928571428571429	0.928571428571429	0.928571428571429	0.952380952380953	0.880952380952381	0.785714285714286	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.80952380952381	0.928571428571429	0.778457070243618	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.80952380952381	0.958101009530607	0.910195959054077	1	0.928571428571429	0.880952380952381	1	0.928571428571429	0.874267171196679	0.994029797388005	0.880952380952381	0.904761904761905	0.880952380952381	0.880952380952381	0.910195959054077
Labilithrix	0.833333333333333	0.928571428571429	0.928571428571429	0.880952380952381	0.952380952380953	0.738095238095238	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.928571428571429	0.910195959054077	0.904761904761905	0.833333333333333	1	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.80952380952381	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.785714285714286	0.928571428571429	1	0.754504545005353	0.898219696434944	0.785714285714286	0.904761904761905	0.785714285714286	0.857142857142857	0.994029797388005
Adhaeribacter	0.898219696434944	0.886243433815812	0.886243433815812	0.850314645958414	0.850314645958414	0.826362120720149	0.934148484292342	0.802409595481884	0.802409595481884	0.850314645958414	0.802409595481884	0.754504545005353	0.886243433815812	0.608433734939759	0.934148484292342	0.922172221673209	0.754504545005353	0.934148484292342	0.922172221673209	0.97007727214974	0.850314645958414	0.826362120720149	0.753012048192771	0.716867469879518	0.874267171196679	0.886243433815812	0.886243433815812	0.874267171196679	0.754504545005353	1	0.879518072289157	0.886243433815812	0.934148484292342	0.994029797388005	0.862290908577547	0.716867469879518
Nitrincola	0.922172221673209	0.910195959054077	0.910195959054077	0.946124746911475	0.850314645958414	0.802409595481884	0.886243433815812	0.874267171196679	0.874267171196679	0.850314645958414	0.874267171196679	0.778457070243618	0.910195959054077	0.740963855421687	0.886243433815812	0.97007727214974	0.898219696434944	0.886243433815812	0.97007727214974	0.946124746911475	0.850314645958414	0.802409595481884	0.94578313253012	0.885542168674699	0.994029797388005	0.910195959054077	0.910195959054077	0.994029797388005	0.898219696434944	0.879518072289157	1	0.910195959054077	0.886243433815812	0.874267171196679	0.862290908577547	0.885542168674699
Lautropia	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.80952380952381	0.952380952380953	0.880952380952381	0.833333333333333	0.833333333333333	0.80952380952381	0.833333333333333	0.785714285714286	0.904761904761905	0.730552019767088	0.880952380952381	0.976190476190476	0.785714285714286	0.880952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.904761904761905	0.802409595481884	0.778457070243618	0.880952380952381	0.904761904761905	1	0.880952380952381	0.785714285714286	0.886243433815812	0.910195959054077	1	0.880952380952381	0.857142857142857	0.880952380952381	0.778457070243618
Tumebacillus	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.976190476190476	0.857142857142857	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.976190476190476	0.826362120720149	1	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.904761904761905	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.874267171196679
Rubrobacter	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.80952380952381	0.952380952380953	0.833333333333333	0.833333333333333	0.880952380952381	0.833333333333333	0.785714285714286	0.904761904761905	0.64671818143316	0.952380952380953	0.904761904761905	0.785714285714286	0.952380952380953	0.928571428571429	0.976190476190476	0.880952380952381	0.833333333333333	0.766480807624486	0.742528282386221	0.880952380952381	0.904761904761905	0.857142857142857	0.880952380952381	0.785714285714286	0.994029797388005	0.874267171196679	0.857142857142857	0.952380952380953	1	0.880952380952381	0.742528282386221
Luteivirga	0.976190476190476	0.976190476190476	0.976190476190476	0.928571428571429	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.874267171196679	0.928571428571429	0.904761904761905	0.857142857142857	0.928571428571429	0.952380952380953	0.904761904761905	0.880952380952381	0.976190476190476	0.790433332862751	0.814385858101016	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.857142857142857	0.862290908577547	0.862290908577547	0.880952380952381	0.928571428571429	0.880952380952381	1	0.814385858101016
Acidiphilium	0.790433332862751	0.898219696434944	0.898219696434944	0.850314645958414	0.934148484292342	0.718575757147955	0.874267171196679	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.790433332862751	0.898219696434944	0.897590361445783	0.874267171196679	0.814385858101016	0.994029797388005	0.874267171196679	0.874267171196679	0.850314645958414	0.934148484292342	0.778457070243618	0.975903614457831	1	0.910195959054077	0.898219696434944	0.778457070243618	0.910195959054077	0.994029797388005	0.716867469879518	0.885542168674699	0.778457070243618	0.874267171196679	0.742528282386221	0.814385858101016	1
