#OTU ID	TABS1	TABS2	TABS3	TABS4	TABS5	TAD10	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
OTU_358	13	20	107	49	66	0	0	0	0	0	0	0	0	0	0	27	36	168	52	63	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0
OTU_349	129	11	16	92	0	0	0	0	0	0	0	0	0	0	3	123	15	35	102	0	0	0	0	0	10	9	40	0	0	0	7	0	0	0	4	0	45	0	0	0
OTU_1086	92	0	1	1	0	0	0	0	0	0	0	0	0	0	0	56	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_146	385	902	108	34	183	0	0	1	0	6	0	0	4	2	0	397	1356	67	44	138	0	5	0	5	0	7	1	0	2	4	1	3	0	1	0	6	11	0	1	11
OTU_477	64	1	0	0	90	1	0	0	3	5	0	0	0	0	4	80	4	0	2	95	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0
OTU_457	74	26	27	26	35	0	0	1	0	0	0	0	2	7	6	45	46	16	17	25	3	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	2	0	0	0
OTU_23	202	105	378	1917	242	12	3	64	2	25	0	1	21	9	32	196	154	426	1963	172	2	31	0	15	57	197	46	10	94	11574	243	14	43	3455	3701	4347	75	10	76	9019
OTU_87	311	382	914	552	1074	0	0	2	0	1	0	0	2	0	2	311	556	1237	597	967	0	1	5	0	2	1014	0	1	1	0	871	114	6	0	0	2	0	11	3	1
OTU_392	54	156	34	18	64	0	0	0	0	0	0	3	0	0	0	53	189	24	8	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1404	26	1	0	0	18	0	0	4	0	1	0	0	0	0	0	17	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1438	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
