"TAD1"	"TAD2"	"TAD3"	"TAD4"	"TAD5"	"TAD6"	"TAD7"	"TAD8"	"TAD9"	"TAD10"	"TAH1"	"TAH2"	"TAH3"	"TAH4"	"TAH5"	"TAH6"	"TAH7"	"TAH8"	"TAH9"	"TAH10"	"TABS1"	"TABS2"	"TABS3"	"TABS4"	"TABS5"	"TAE0BS1"	"TAE0BS2"	"TAE0BS3"	"TAE0BS4"	"TAE0BS5"	"TAE0D1"	"TAE0D4"	"TAE0D5"	"TAE0D7"	"TAE0D9"	"TAE0H6"	"TAE0H7"	"TAE0H8"	"TAE0H9"	"TAE0H10"
"bacOTU_125"	0.0101694915254237	0.0770533446232007	0.0011258725512272	0.00028184892897407	0.00615858352578907	0.00326797385620915	0.0274074074074074	0.0243128964059197	0.00866122246968572	0.00388468615824985	0.0222984562607204	0.031980319803198	0.00137713948455636	0.00281629116117851	0.000765579543714592	0.00500834724540901	0.00238473767885533	0.0170178282009724	0.00130260521042084	0.043046357615894	0.00286532951289398	0.00158982511923688	0	0.0260869565217391	0.00411522633744856	6	2	0.5	5	1	16.5	9	3	36	22	6	8	11	19	20
"bacOTU_69"	0.00920096852300242	0.00677392040643522	0.00517901373564513	0.0704622322435175	0.00153964588144727	0.00204248366013072	0.0844444444444444	0.0179704016913319	0.0089086859688196	0.00327131465957882	0.0304459691252144	0.100861008610086	0	0	0	0.000208681135225376	0.00317965023847377	0.00567260940032415	0	0.0231788079470199	0.000955109837631328	0	0	0	0	0	0	0	0	0	8	270	2	102	45	1	5	13	0	19
"bacOTU_198"	0.00823244552058111	0.00423370025402202	0	0.00028184892897407	0.00153964588144727	0.0490196078431373	0.00222222222222222	0.00422832980972516	0.00791883197228409	0.00102228583111838	0.00214408233276158	0.00615006150061501	0.00452488687782805	0.00259965337954939	0	0	0	0.00891410048622366	0	0.00441501103752759	0.000955109837631328	0.027027027027027	0	0.00217391304347826	0	6	16	0	0	0	9.5	3	2	0	50	2	1	17	0	2
"bacOTU_68"	0.00774818401937046	0.0245554614733277	0.00315244314343616	0.0140924464487035	0.00307929176289453	0.00245098039215686	0.062962962962963	0.0549682875264271	0.0066815144766147	0.00879165814761807	0.00943396226415094	0.119311193111931	0.00806610269525871	0.00519930675909879	0.00428724544480171	0.00626043405676127	0.0190779014308426	0.0923824959481361	0.00190380761523046	0.0242825607064018	0.00573065902578797	0.00794912559618442	0.0111627906976744	0.0347826086956522	0.0102880658436214	11	6	4	11	6	4.5	39	4	101	20	48	71	105	39	37
"bacOTU_98"	0.00726392251815981	0.0423370025402202	0.00135104706147264	0.0101465614430665	0.00153964588144727	0.00204248366013072	0.0325925925925926	0.0285412262156448	0.00395941598614204	0.00102228583111838	0.0171526586620926	0.030750307503075	0.00295101318119221	0.00173310225303293	0.00382789771857296	0.00521702838063439	0.00834658187599364	0.0413290113452188	0.000601202404809619	0.043046357615894	0.00382043935052531	0	0.000930232558139535	0.0369565217391304	0.00102880658436214	4	1	2	18	1	9	70	6	65	50	48	48	72	17	95
"bacOTU_100"	0.00677966101694915	0.0228619813717189	0.00382796667417248	0.00366403607666291	0.00153964588144727	0.00163398692810458	0.0474074074074074	0.0369978858350951	0.00296956198960653	0.000817828664894705	0.0463121783876501	0.018450184501845	0.00393468424158961	0.00324956672443674	0.00153115908742918	0.00208681135225376	0.0095389507154213	0.0153970826580227	0.00140280561122244	0.0584988962472406	0.00191021967526266	0.00794912559618442	0.00465116279069767	0.0195652173913043	0.0102880658436214	8	3	4	13	3.5	8.5	29	6	102	23	12	58	18	9	79
"bacOTU_32"	0.00677966101694915	0.0499576629974598	0.00495383922539968	0.0104284103720406	0.0123171670515781	0.0151143790849673	0.101481481481481	0.080338266384778	0.00494926998267755	0.0116540584747495	0.0861921097770154	0.204182041820418	0.00688569742278182	0.00584922010398614	0.00260297044862961	0.0118948247078464	0.0779014308426073	0.0713128038897893	0.00430861723446894	0.103752759381898	0.0114613180515759	0.0095389507154213	0.00372093023255814	0.0239130434782609	0.0102880658436214	11	10	3	13	2	9.5	49	8	186	41	112	290	115	85	138
"bacOTU_51"	0.00677966101694915	0.0279424216765453	0.00788110785859041	0.0174746335963923	0.0246343341031563	0.00326797385620915	0.0437037037037037	0.0634249471458774	0.00866122246968572	0.00449805765692088	0.0308747855917667	0.0541205412054121	0.0592169978359237	0.0487435008665511	0.000612463634971674	0.00751252086811352	0.023449920508744	0.020259319286872	0.00140280561122244	0.0353200883002208	0.000955109837631328	0	0	0	0	0	0	0	2	0	8.5	60	15	102	58	85	75	40	8	65
"bacOTU_84"	0.00677966101694915	0.0211685012701101	0.00292726863319072	0.00648252536640361	0.00307929176289453	0.00571895424836601	0.037037037037037	0.0507399577167019	0.00395941598614204	0.00265794316090779	0.0390222984562607	0.0615006150061501	0.0070824316348613	0.00931542461005199	0.00489970907977339	0.00438230383973289	0.0182829888712242	0.0388978930307942	0.00170340681362725	0.022075055187638	0.00191021967526266	0.00158982511923688	0.000930232558139535	0.00217391304347826	0	2	2	1.5	4	1	3.5	17	1	53	24	37	58	42	43	31
"bacOTU_47"	0.0062953995157385	0.0220152413209145	0.00360279216392704	0.00704622322435175	0.00615858352578907	0.00245098039215686	0.0385185185185185	0.047568710359408	0.00692897797574858	0.00163565732978941	0.0364493996569468	0.109471094710947	0.0487900845957112	0.0697573656845754	0.000306231817485837	0.0118948247078464	0.0262321144674086	0.0372771474878444	0.000400801603206413	0.0408388520971302	0.00286532951289398	0.00317965023847377	0.000930232558139535	0	0	0	0	1	0	1	7	54	16	87	55	82	111	52	16	126
"bacOTU_54"	0.0062953995157385	0.0889077053344623	0.00990767845079937	0.0301578354002255	0.00384911470361817	0.0155228758169935	0.0592592592592593	0.0887949260042283	0.0539470428111853	0.0051114291555919	0.00471698113207547	0.015990159901599	0.00668896321070234	0.0123483535528596	0.00719644771091716	0.0085559265442404	0	0.0291734197730956	0.00400801603206413	0.0397350993377483	0.000955109837631328	0.00794912559618442	0	0.00434782608695652	0.00205761316872428	4	9	3.5	1	2	7	97	8	62	179	35	3	22	63	20
"bacOTU_56"	0.0062953995157385	0.0160880609652837	0.00045034902049088	0.00028184892897407	0.00769822940723634	0.000816993464052288	0.000740740740740741	0.1553911205074	0.000742390497401633	0.0507053772234717	0.000428816466552316	0.041820418204182	0.00157387369663584	0.0927209705372617	0.00872760679834635	0.01669449081803	0	0.00486223662884927	0.000100200400801603	0	0	0.00158982511923688	0	0	0	0	0	0	0	0	4	1	11	1	3	84	0	3	1	4
"bacOTU_12"	0.00581113801452784	0.263336155800169	0.143886512046836	0.177001127395716	0.0792917628945343	0.0183823529411765	0.302962962962963	0.258985200845666	0.0742390497401633	0.0327131465957882	0.0227272727272727	0.0713407134071341	0.0240015738736966	0.0413778162911612	0.088194763435921	0.00292153589315526	0.109300476947536	0.00729335494327391	0.00661322645290581	0.0397350993377483	0.0114613180515759	0.00794912559618442	0	0.0695652173913043	0.00411522633744856	10	0	0.5	42	0.5	12	762	76	455	301	7	232	8	95	39
"bacOTU_21"	0.00581113801452784	0.0677392040643522	0.00540418824589057	0.044532130777903	0.000769822940723634	0.0375816993464052	0.0037037037037037	0.0306553911205074	0.0913140311804009	0.00592925782048661	0	0.050430504305043	0.189651780444619	0.00389948006932409	0.000306231817485837	0.00229549248747913	0	0.0388978930307942	0.000400801603206413	0.00551876379690949	0.000955109837631328	0.0238473767885533	0.000930232558139535	0.00217391304347826	0	1	15	0	1	0	3	234	3	8	591	16	3	86	5	8
"bacOTU_30"	0.00581113801452784	0.116003386960203	0.063949560909705	0.0408680947012401	0.0100076982294072	0.0126633986928105	0.0814814814814815	0.110993657505285	0.0442959663449641	0.0535677775506032	0.000428816466552316	0.003690036900369	0	0	0	0.000208681135225376	0.0182829888712242	0.00324149108589951	0.000100200400801603	0.0165562913907285	0.00764087870105062	0.00317965023847377	0.00465116279069767	0.00869565217391304	0.00411522633744856	9	2	2.5	3	0.5	4	181	13	156	380	5	59	12	4	22
"bacOTU_17"	0.00532687651331719	0.0262489415749365	0.189596937626661	0.00422773393461105	0.497305619707467	0.00898692810457516	0.00962962962962963	0.0169133192389006	0.0155902004454343	0.0400736045798405	0.0055746140651801	0.04920049200492	0.00452488687782805	0.105069324090121	0.000306231817485837	0.0106427378964942	0.00556438791732909	0.151539708265802	0.000400801603206413	0.0132450331125828	0.00382043935052531	0	0	0.00869565217391304	0.00308641975308642	1	1	0.5	2	0.5	4	10	542	22	110	61	12	188	9	34
"bacOTU_172"	0.00532687651331719	0.0135478408128704	0.00022517451024544	0.0028184892897407	0	0.000408496732026144	0.0392592592592593	0.0137420718816068	0.00296956198960653	0.00204457166223676	0.0227272727272727	0.002460024600246	0.000590202636238442	0.00151646447140381	0.00275608635737253	0.00229549248747913	0.00675675675675676	0.00567260940032415	0.00030060120240481	0.0275938189845475	0.000955109837631328	0.00476947535771065	0.00651162790697674	0.00652173913043478	0.00205761316872428	0	3	1	1	2.5	2	22	2	77	24	11	21	9	13	37
