"TAD1"	"TAD2"	"TAD3"	"TAD4"	"TAD5"	"TAD6"	"TAD7"	"TAD8"	"TAD9"	"TAD10"	"TAH1"	"TAH2"	"TAH3"	"TAH4"	"TAH5"	"TAH6"	"TAH7"	"TAH8"	"TAH9"	"TAH10"	"TABS1"	"TABS2"	"TABS3"	"TABS4"	"TABS5"	"TAE0BS1"	"TAE0BS2"	"TAE0BS3"	"TAE0BS4"	"TAE0BS5"	"TAE0D1"	"TAE0D4"	"TAE0D5"	"TAE0D7"	"TAE0D9"	"TAE0H6"	"TAE0H7"	"TAE0H8"	"TAE0H9"	"TAE0H10"
"bacOTU_17"	0.00515995872033024	0.155866900175131	0.0146989094357515	0.0302132701421801	0.0116666666666667	0.00786026200873362	0.174726989079563	0.120689655172414	0.01829587036069	0.0119352088661552	0.16970802919708	0.101736972704715	0.00422654268808115	0.0195989061075661	0.007085346215781	0.0216049382716049	0.133004926108374	0.0446735395189003	0.00417885499373172	0.399026763990268	0.0281954887218045	0.0757575757575758	0.00560747663551402	0.0340425531914894	0.0141129032258065	15	23	5	6	2.5	6	47	7	102	33	58	158	24	45	99
"bacOTU_36"	0.00515995872033024	0.0122591943957968	0.00474158368895211	0.00414691943127962	0.00666666666666667	0.00698689956331878	0.0452418096723869	0.0862068965517241	0.00313643491897543	0.00682011935208866	0.147810218978102	0.0992555831265509	0	0.000455788514129444	0.000322061191626409	0.00132275132275132	0.0878489326765189	0.00171821305841924	0.000626828249059758	0.18978102189781	0.0056390977443609	0.0181818181818182	0	0	0	1	5	0	1	0	2	4	2	28	5	2	114	1	2	87
"bacOTU_41"	0.00515995872033024	0.138353765323993	0.00948316737790422	0.0308056872037915	0.01	0.00873362445414847	0.0873634945397816	0.0738916256157636	0.0162049137480397	0.00895140664961637	0.0437956204379562	0.0669975186104218	0.00803043110735418	0.01640838650866	0.0161030595813204	0.037037037037037	0.041871921182266	0.0824742268041237	0.00877559548683661	0.13625304136253	0.0545112781954887	0.163636363636364	0.0560747663551402	0.131914893617021	0.0564516129032258	36	52	38	33	13.5	8	51	4	46	32	79	39	45	83	34
"bacOTU_64"	0.00515995872033024	0.0928196147110333	0.0123281175912755	0.0278436018957346	0.0116666666666667	0.0646288209606987	0.0639625585023401	0.0812807881773399	0.0156821745948772	0.0140664961636829	0.0374087591240876	0.121588089330025	0.0422654268808115	0.0455788514129444	0.007085346215781	0.0304232804232804	0.0197044334975369	0.103092783505155	0.00814876723777685	0.0437956204379562	0.0131578947368421	0.0333333333333333	0.0130841121495327	0.0425531914893617	0.00806451612903226	8	8	6	11	2	6	48	7	40	38	90	21	57	55	21
"bacOTU_91"	0.00515995872033024	0.110332749562172	0.00379326695116169	0.0213270142180095	0.00666666666666667	0.00698689956331878	0.0546021840873635	0.0467980295566502	0.00836382645060115	0.00895140664961637	0.0328467153284672	0.0744416873449131	0.00760777683854607	0.0113947128532361	0.0164251207729469	0.0119047619047619	0.035303776683087	0.115120274914089	0.0058503969912244	0.145985401459854	0.216165413533835	0.306060606060606	0.186915887850467	0.442553191489362	0.141129032258065	125	117	116	77	29.5	7	47	2	30	15	30	40	62	32	36
"bacOTU_112"	0.00412796697626419	0.112084063047285	0.0085348506401138	0.0361374407582938	0.00833333333333333	0.00786026200873362	0.0904836193447738	0.0591133004926108	0.0120230005227392	0.00596760443307758	0.052007299270073	0.0496277915632754	0.00633981403212172	0.00638103919781222	0.00869565217391304	0.0198412698412698	0.0295566502463054	0.0652920962199313	0.00376096949435855	0.0827250608272506	0.0827067669172932	0.127272727272727	0.0616822429906542	0.293617021276596	0.120967741935484	59	48	52	63	28.5	3	76	4	47	26	37	32	28	30	21
"bacOTU_146"	0.00412796697626419	0.010507880910683	0.00568990042674253	0.00888625592417062	0.00166666666666667	0.00349344978165939	0.0140405616224649	0.0197044334975369	0.00261369576581286	0.00554134697357204	0.00273722627737226	0.0620347394540943	0.00126796280642434	0.00182315405651778	0.00322061191626409	0.000881834215167548	0.000821018062397373	0.0567010309278351	0.0043877977434183	0.0024330900243309	0	0.00303030303030303	0	0.00851063829787234	0.00403225806451613	0	0	0	1	0.5	2	19	2	12	7	4	1	42	42	1
"bacOTU_18"	0.00412796697626419	0.0227670753064799	0.0298719772403983	0.0242890995260664	0.0933333333333333	0.0532751091703057	0.698907956318253	0.0911330049261084	0.00209095661265029	0.0532821824381927	0.00273722627737226	0.429280397022333	0.000422654268808115	0.000911577028258888	0	0.000440917107583774	0.0155993431855501	0.109965635738832	0.000208942749686586	0.0048661800486618	0.0037593984962406	0.00909090909090909	0	0	0	0	5	0	0	0	3	33	57	255	4	0	19	62	0	3
"bacOTU_369"	0.00412796697626419	0.0577933450087566	0.00758653390232338	0.0136255924170616	0.00333333333333333	0.00786026200873362	0.0670826833073323	0.041871921182266	0.0104547830632514	0.0106564364876385	0.0447080291970803	0.101736972704715	0.0126796280642434	0.02461257976299	0.0112721417069243	0.0141093474426808	0.0246305418719212	0.070446735395189	0.00940242373589636	0.0559610705596107	0.0018796992481203	0.0636363636363636	0	0.0127659574468085	0.00604838709677419	1	17	1	1	1	5	24	1	42	20	46	30	37	59	27
"bacOTU_61"	0.00412796697626419	0.0788091068301226	0.0118539592223803	0.0136255924170616	0.00666666666666667	0.0427947598253275	0.0795631825273011	0.0738916256157636	0.010977522216414	0.00980392156862745	0.0337591240875912	0.114143920595533	0.00929839391377853	0.012306289881495	0.0135265700483092	0.0149911816578483	0.0377668308702791	0.0549828178694158	0.00835770998746344	0.0827250608272506	0.0263157894736842	0.0333333333333333	0.0186915887850467	0.051063829787234	0.0161290322580645	14	15	10	11	2.5	4	21	2	51	31	39	46	28	60	42
