funOTUID	Kindom	Phylum	Class	Order	Family	Genus	Species
funOTU_1140	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1134	Fungi	Basidiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1153	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1155	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1149	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1156	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1161	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1163	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1157	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1159	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1164	Fungi	Basidiomycota	Agaricomycetes	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1165	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1167	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1160	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1151	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1158	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1168	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1147	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unassigned
funOTU_1148	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Unassigned	Unassigned
funOTU_1173	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1169	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1187	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Cyclocybe	Cyclocybe_cylindracea_SH490676.07FU
funOTU_1178	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1166	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Unassigned
funOTU_1186	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1188	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1182	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1181	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1197	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1195	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1184	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1192	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1170	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Phialocephala	Phialocephala_humicola_SH181581.07FU
