TAD2	TAD3	TAD4	TAD6	TAD7	TAD9	TAD10	TAH1	TAH3	TAH4	TAH5	TAH6	TAH8	TAH10	species	ID
bacOTU_44	26.8326468912599	4.23664315025112	6.36048716948778	11.5831563052367	11.3289197916664	8.21845295244503	6.32204971457978	6.34140957343279	2.59566595046607	5.26192843395387	0.49983969479871	1.08715525308431	2.35445002744079	2.9541339031517	bac	bacOTU_44
bacOTU_12	25.1289931203863	34.3383971125617	18.2862131122774	61.1478623555519	10.4897479552466	14.1875724652735	13.750340629211	3.03864417060321	1.73047730031071	1.7374961810225	1.23629819239681	3.52365840654913	10.5105911939321	1.47711695157585	bac	bacOTU_12
bacOTU_208	8.09245541164982	3.79069123969837	1.32518066030995	1.61634041468419	10.2799549961417	1.7302795689358	1.10644120005146	0.990929620848873	0.288496216718452	0.496498908863573	0.447235516398846	1.31206323648106	1.51361073192622	1.13626688582758	bac	bacOTU_208
bacOTU_23	31.5176947611624	35.0073249783908	10.3357291504176	5.3875680489473	12.1680916280861	9.25656069380651	23.0752164582162	1.05698492890546	0.0962320722394839	0.198659563545429	0.131610445999661	0.374946638994588	1.26135894327185	1.24988357441034	bac	bacOTU_23
bacOTU_29	6.81471508349458	0.892003821105499	0.265116132061991	2.96320742692102	0.419685918209865	0.605662849127528	49.4693565165867	0.132210616113183	0.384628288957936	13.5021503210892	2.02536086839477	4.87310630692965	6.47456257546217	1.13626688582758	bac	bacOTU_29
bacOTU_40	19.5921183650469	5.35152292663299	6.22797910345679	4.57944784160521	14.2660212191354	2.59536935340369	9.48302457186966	7.39829450233825	1.44208108359226	1.34037705393165	0.683954319198235	1.38703256427998	2.5226178865437	6.13540118346892	bac	bacOTU_40
bacOTU_35	31.5176947611624	7.80425843467312	5.8304549053638	5.11819464649994	8.18202540509237	9.34306967225329	2.21278240010292	0.396431848339549	1.34594901135277	1.29073716304529	0.605048051598439	0.749793277989176	1.1772750137204	2.27243377165516	bac	bacOTU_35
bacOTU_102	3.40740754174729	0.44605191055275	0.265116132061991	0.269473402447365	1.2588577546296	0.951698762914687	2.05473365723843	1.32120616113183	0.48076036119742	0.0497398908863573	1e-04	1e-04	0.0841839295514568	0.909033508662062	bac	bacOTU_102
bacOTU_14	24.2771662349494	4.01366719497475	7.02302749964276	28.5536806594207	23.4969114197525	3.28744118097801	16.9113154865009	7.13407327011189	0.865288650155355	0.645418581522645	0.0790062675997964	0.449915966793506	6.2223107868078	11.9298523011896	bac	bacOTU_14
bacOTU_17	37.9063964019386	6.91235461356762	6.75801136758077	2.42446062202629	23.4969114197525	3.02791424563764	4.42546480020584	12.286387298526	0.961420722394839	2.13461530811336	0.578745962398507	1.83684853107348	2.18628216833788	18.6332369275723	bac	bacOTU_17
bacOTU_36	2.98149409902888	2.22985955276375	0.927656462216968	2.15508721957892	6.08409581404305	0.519153870680739	2.52887988583191	10.7010599051678	1e-04	0.0497398908863573	0.0264020891999321	0.112553991698376	0.0841839295514568	8.86220170945511	bac	bacOTU_36
bacOTU_41	33.6472619747545	4.4596191055275	6.89051943361176	2.69383402447365	11.7485057098762	2.68187833185048	3.31912360015438	3.17075478671639	1.82660937255019	1.78713607190886	1.31520445999661	3.14881176755454	4.03612861846993	6.36263456063444	bac	bacOTU_41
bacOTU_64	22.5735124640758	5.79747483718574	6.22797910345679	19.933731781105	8.60161132330224	2.59536935340369	5.21570851452831	2.70836763032025	9.61330722394839	4.96408908863573	0.578745962398507	2.58654180906266	5.04513577308741	2.04520039448964	bac	bacOTU_64
bacOTU_91	26.8326468912599	1.783907642211	4.77039037711584	2.15508721957892	7.34285356867264	1.38424365514864	3.31912360015438	2.3780910900373	1.73047730031071	1.24109727215893	1.34150654919654	1.01218592528539	5.63372327994761	6.81710131496547	bac	bacOTU_91
bacOTU_112	27.2585603339783	4.01366719497475	8.08309202789072	2.42446062202629	12.1680916280861	1.98980650427616	2.21278240010292	3.76525255922572	1.44208108359226	0.695058472409002	0.710256408398168	1.68690987547565	3.19528932295536	3.86306741181377	bac	bacOTU_112
bacOTU_146	2.55558065631047	2.6758114633165	1.98772099046493	1.07759360978946	1.88823663194439	0.432644892233949	2.05473365723843	0.198265924169775	0.288496216718452	0.198659563545429	0.263120891999321	0.0750693277989176	2.77486967519807	0.113716688582758	bac	bacOTU_146
bacOTU_18	5.53697475533935	14.0475851824116	5.43293070727081	16.4318775492893	93.9873456790098	0.346135913787159	19.7561928580618	0.198265924169775	0.0962320722394839	0.0993797817727146	1e-04	0.0375846638994588	5.38147149129323	0.227333377165516	bac	bacOTU_18
bacOTU_369	14.0552436097076	3.567715284422	3.0477855187129	2.42446062202629	9.0211972415121	1.7302795689358	3.95131857161236	3.23681009477299	2.88406216718452	2.68065410786329	0.920673121997625	1.19960924478268	3.44754111160973	2.61328383740343	bac	bacOTU_369
bacOTU_61	19.1662049223285	5.57449888190937	3.0477855187129	13.1993967199209	10.6995409143516	1.81678854738259	3.63522108588337	2.44414639809389	2.11500558926865	1.34037705393165	1.10478774639715	1.2745785725816	2.69078574564662	3.86306741181377	bac	bacOTU_61
bacOTU_69	4.25923442718411	5.79747483718574	1.32518066030995	6.46506165873676	0.629478877314798	1.55726161204222	6.16400097171528	0.396431848339549	2.30726973374761	0.695058472409002	0.605048051598439	0.862247269687553	1e-04	0.454566754331031	bac	bacOTU_69
bacOTU_72	4.68514786990252	2.89878741859287	3.71032584886787	0.808220207342095	2.09802959104933	1.98980650427616	2.6869286286964	1.05698492890546	0.384628288957936	0.0993797817727146	0.0790062675997964	0.150038655597835	0.25235178865437	2.04520039448964	bac	bacOTU_72
bacOTU_77	14.9070704951444	6.91235461356762	4.63788231108484	3.77132763426311	9.0211972415121	3.11442322408443	7.11229342890225	2.11386985781093	4.32604325077678	6.40364592434009	1.28890237079667	2.77396512855995	6.72681436411654	5.34008436338962	bac	bacOTU_77
bacOTU_81	13.2034167242708	3.567715284422	5.56543877330181	2.15508721957892	6.71347469135784	2.42235139651011	3.00302611442539	2.17992516586752	1.15368486687381	0.645418581522645	0.789162675997964	2.47408781736428	1.59769466147768	4.09030078897928	bac	bacOTU_81
bacOTU_97	5.53697475533935	3.12176337386925	4.50537424505384	3.50195423181575	3.35678734567892	2.68187833185048	3.95131857161236	1.91570393364115	5.3834960454111	2.28353498077244	2.10426713599457	1.19960924478268	5.54963935039615	4.54476754331031	bac	bacOTU_97
bacOTU_109	23.4253393495126	2.6758114633165	4.24035811299185	3.50195423181575	19.9304311149686	2.85489628874406	5.37375725739281	3.69919725116913	5.47962811765058	2.48209454431786	1.42041281679634	3.07384243975562	4.03612861846993	14.2021860728447	bac	bacOTU_109
bacOTU_117	5.11106131262094	1.56093168693462	2.51775325458891	0.808220207342095	2.09802959104933	1.38424365514864	1.58058742864494	0.792763696679099	0.576892433436903	0.0993797817727146	0.157912535199593	0.412431302894047	0.504603577308741	1.13626688582758	bac	bacOTU_117
