TAH6	TAD7	TAE0H7	TAH10	TAH8	TAE0BS2	TAE0BS5	TAE0D4	TAD8	TAH5	TAH1	TABS3	TAE0BS1	TABS4	TAH4	TAE0D9	TAH2	TAD5	TAD3	TAE0H6	TAH7	TAD6	TAE0D7	TAE0H10	TAE0H8	TAE0D5	TAE0D1	TAH3	TABS5	TAD9	TAD2	TAE0H9	TAH9	TAE0BS4	TAE0BS3	TABS2	TAD10	TAD1	TAD4	TABS1
OTU_242	0	0	0	0	8	0	122	0	0	0	4	0	2	56	0	0	338	0	0	0	0	0	0	0	4	0	0	0	94	0	0	0	0	68	0	0	0	0	0	1
OTU_1133	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	3	0	0	0	1
OTU_371	0	0	0	0	0	0	2	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	77
OTU_856	0	0	0	0	0	0	2	0	0	0	0	4	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0
OTU_1180	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	8	0	0	0	0	2	0	0	4	0	0	0	25	11	2	2	0	0	0	0	1
OTU_392	1	0	5	11	1	7	0	0	0	3	0	3	12	69	0	2	1	0	0	1	0	0	0	13	0	0	0	0	0	5	0	5	5	66	3	0	0	0	0	14
OTU_305	0	4	2	1	0	14	13	6	9	0	0	14	13	14	0	10	0	0	0	0	0	1	6	0	0	1	4	0	24	2	1	0	0	15	22	7	2	6	9	14
OTU_353	0	0	0	0	0	0	0	0	0	0	0	0	3	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	1
OTU_222	74	1	0	56	1	179	0	0	0	313	0	0	1	0	2	29	1	0	0	104	0	0	0	89	3	0	0	0	0	21	0	190	58	0	2	115	74	0	0	0
OTU_121	0	0	0	19	0	51	20	7	13	10	458	53	18	81	0	5	3	3	3	0	3	31	1	22	0	8	0	0	21	2	13	0	0	97	55	40	69	0	2	16
OTU_487	0	0	0	0	0	27	3	0	0	0	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	27	0	0	0	5
OTU_127	92	1	0	312	0	1	0	2	0	0	0	0	0	0	2	0	4	0	0	131	0	0	0	349	0	0	0	206	0	0	0	0	2	0	0	0	26	0	2	0
OTU_411	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	72	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1219	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	1	2	7	0	1
OTU_633	0	0	0	0	0	2	23	0	0	0	0	13	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	5	14	2	0	0	0	2
OTU_260	0	0	0	2	0	12	31	1	1	0	0	17	41	17	0	1	0	0	0	0	1	0	0	1	0	0	2	0	24	0	0	0	0	22	17	4	0	0	2	42
OTU_252	0	0	0	0	98	3	0	0	0	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	108	0	0	0	0	0	0	1	0	0	0	8	1	0	0	2
OTU_898	1	0	0	0	1	7	2	0	0	0	0	6	3	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	3	12	3	0	0	0	3
OTU_299	0	0	0	0	0	16	27	0	0	0	0	30	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	10	33	4	0	0	0	7
OTU_405	0	0	0	0	0	0	145	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0
OTU_200	0	0	0	0	0	1	8	87	0	0	4	3	10	21	0	0	0	24	32	1	0	0	0	0	0	38	47	0	4	0	0	0	0	30	1	3	0	16	85	5
OTU_239	0	0	2	0	0	0	74	0	0	0	2	20	40	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	70	0	0	0	0	6	49	4	0	0	0	35
OTU_155	6	7	5	10	3	51	82	2	3	0	7	10	40	326	0	39	1	24	4	13	0	7	5	12	4	46	66	0	65	15	60	0	0	402	14	29	4	19	2	31
OTU_342	22	0	1	9	2	1	11	0	2	8	1	13	8	3	26	4	2	4	0	49	0	0	0	31	3	0	0	3	3	2	1	30	42	11	19	1	1	0	1	9
OTU_488	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0
OTU_221	0	0	0	1	1	15	18	0	1	0	0	23	2	132	0	0	0	0	0	0	0	0	0	3	0	0	0	0	23	0	0	0	0	158	14	21	0	0	0	2
OTU_232	80	0	0	6	9	57	5	0	9	2	2	25	17	3	5	37	4	0	2	177	2	1	1	17	15	5	0	0	5	16	0	41	22	9	26	46	0	0	0	9
OTU_202	21	0	2	19	0	15	0	0	0	0	0	2	17	6	15	0	19	2	0	28	8	0	0	21	1	3	0	0	0	2	0	0	0	11	7	13	240	0	0	17
OTU_863	2	2	0	0	6	15	16	2	1	0	0	2	11	9	0	9	0	1	0	4	0	0	0	13	4	3	3	0	11	9	5	0	0	9	3	9	0	0	0	3
OTU_255	5	0	1	6	2	24	35	0	0	10	0	2	35	26	0	0	2	5	0	2	3	0	1	10	1	7	2	0	26	0	0	14	13	16	7	20	0	1	1	22
OTU_722	0	0	0	0	2	1	0	0	0	26	1	2	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	5	0	0	2	0	0	0	0
OTU_146	0	4	0	0	0	2	2	0	0	0	0	0	13	9	0	57	0	0	24	0	0	30	11	0	0	2	16	0	0	34	734	0	0	6	1	6	6	3	0	10
OTU_150	1	0	0	0	0	8	104	0	0	0	4	15	134	135	0	2	0	0	2	3	0	0	0	1	1	0	0	0	109	1	0	0	0	120	21	8	7	0	0	105
OTU_198	24	0	0	12	0	13	0	0	0	64	0	0	1	2	1	0	0	0	0	65	0	0	0	8	0	0	0	2	0	0	0	599	339	4	0	6	0	0	0	1
OTU_394	0	2	17	16	0	32	3	0	2	0	1	1	0	2	0	0	0	0	0	0	10	0	1	7	0	0	0	0	3	0	0	0	0	2	5	22	0	0	0	0
OTU_624	0	0	0	0	0	5	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
OTU_156	2	0	0	0	7	23	76	0	0	0	7	16	347	32	0	0	6	0	0	2	0	0	0	2	13	0	0	0	32	0	0	2	0	28	19	13	0	0	0	288
OTU_420	2	11	2	6	1	1	29	15	7	0	11	3	15	5	2	13	3	13	0	0	3	2	13	9	1	10	25	0	26	11	17	2	0	9	4	0	2	12	14	8
OTU_890	0	0	0	0	0	0	0	0	2	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0
OTU_628	0	0	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	11
OTU_149	78	1	0	320	0	0	0	27	3	0	0	2	1	1	0	26	0	1	0	121	0	0	1	362	0	0	0	0	0	20	1	0	2	1	7	0	149	0	18	1
OTU_175	3	0	2	1	0	261	11	0	0	1	8	71	8	7	0	4	0	0	0	2	0	0	0	2	2	0	0	0	12	0	0	0	0	5	85	225	0	0	2	11
OTU_892	0	0	1	0	2	1	4	1	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7
OTU_527	0	0	0	0	1	2	2	0	0	0	0	28	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	53	1	0	0	0	1
OTU_112	0	0	0	0	0	14	77	0	0	0	1	63	571	12	0	0	0	0	0	0	0	0	0	2	0	0	0	0	54	0	0	0	0	12	56	15	0	0	0	460
OTU_520	0	0	0	0	0	7	11	0	0	0	0	12	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	8	15	0	0	0	0	1
OTU_478	0	0	0	0	0	8	17	0	0	0	0	15	5	15	0	0	0	3	0	0	0	5	0	0	0	1	8	0	8	0	0	0	0	12	29	5	0	0	0	7
OTU_214	6	0	1	2	0	32	11	3	2	3	13	20	8	77	0	5	1	3	8	13	1	0	0	2	0	4	0	0	5	7	5	0	0	87	12	40	0	0	3	10
OTU_174	0	0	9	6	11	27	1	0	0	2	0	5	7	306	26	0	3	0	0	0	4	0	0	8	10	0	0	1	2	0	0	0	0	326	9	39	0	0	0	4
OTU_958	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	14	9	0	3	2	0	0	0	0
OTU_584	0	0	0	5	0	2	7	0	0	0	0	5	3	4	0	0	0	0	0	0	0	0	0	3	1	0	0	0	10	0	0	0	4	4	4	1	0	0	0	4
OTU_658	0	0	0	0	0	5	11	0	0	0	0	8	4	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	14	3	9	0	0	0	1
OTU_291	7	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	110	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU_363	0	0	96	39	0	1	13	0	4	0	33	4	16	6	0	0	21	0	0	0	92	0	1	54	0	0	0	0	11	0	1	0	1	6	0	1	0	0	0	13
OTU_472	0	0	0	0	0	3	18	0	0	0	0	15	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	7	20	3	0	0	0	6
OTU_361	0	0	0	0	0	1	54	0	0	0	0	21	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	14	15	0	0	0	0	8
OTU_768	0	0	26	0	0	1	0	0	0	0	0	0	1	0	0	0	8	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
OTU_696	0	0	0	0	1	2	13	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	17	0	0	0	0	5	5	2	0	0	0	0
OTU_435	0	0	0	5	0	23	14	1	0	0	0	50	48	16	0	0	5	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	22	40	18	0	0	0	30
OTU_582	0	0	1	2	0	0	2	0	0	4	3	0	10	48	0	3	1	0	0	3	1	0	0	3	0	0	0	0	0	5	0	0	1	65	1	0	0	0	0	10
OTU_452	0	0	20	3	0	12	0	0	2	0	5	0	0	0	0	0	12	0	0	0	18	0	0	1	0	0	0	0	0	1	0	0	0	0	0	10	1	0	0	0
OTU_496	0	2	46	5	0	0	0	0	0	0	3	0	0	17	0	0	9	0	0	0	29	0	1	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0
OTU_244	1	0	2	3	0	1	0	0	0	59	0	0	0	0	0	0	2	0	0	0	0	0	0	5	2	0	0	0	0	0	2	264	140	0	0	1	0	0	0	2
OTU_844	0	0	2	6	0	5	12	0	0	0	0	0	2	10	0	0	1	0	0	0	1	0	1	7	0	0	0	0	4	0	0	0	0	9	1	2	0	0	0	5
OTU_1012	1	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	9	0	5	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	2	0	0	0	2
OTU_786	0	0	0	9	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	18	3	0	0	0	0	0	0	7
OTU_203	0	0	0	0	1	0	0	0	0	34	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	148	0	74	0	0	0	0	0
OTU_326	0	0	0	3	0	3	9	0	0	0	1	18	16	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	24	27	2	0	0	0	8
OTU_609	11	0	0	5	2	0	2	0	0	0	0	0	1	0	3	0	1	0	0	11	0	0	0	1	10	0	0	0	0	0	0	15	7	0	0	0	0	0	0	0
OTU_508	0	0	0	8	0	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	2	0	0	0	0	0	0	18	0	0	0	0
OTU_348	17	0	0	1	1	2	5	0	1	9	0	18	3	5	1	0	0	5	0	57	0	0	0	1	3	7	0	0	2	0	0	8	4	6	23	4	1	0	0	3
OTU_871	0	0	0	0	0	1	4	0	1	0	0	2	27	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	5	6	0	0	0	0	20
OTU_140	0	0	4	2	0	36	168	2	4	0	1	48	165	82	0	0	0	0	0	2	0	0	1	1	0	0	0	0	96	0	0	0	0	99	80	22	0	0	0	135
OTU_167	0	1	0	7	1	16	27	0	3	0	4	14	7	1	0	5	1	0	371	0	0	0	2	0	0	5	14	0	14	3	9	0	0	1	22	6	14	2	1	10
OTU_209	1	1	0	2	13	24	68	1	0	6	2	36	6	31	0	0	0	1	0	1	0	0	0	0	9	1	0	0	59	0	0	13	14	39	43	33	0	0	0	7
OTU_168	0	0	4	29	0	33	126	1	1	0	6	63	57	58	0	0	3	0	0	0	1	0	0	21	0	0	13	0	106	1	0	0	1	51	60	34	0	0	1	72
OTU_176	0	0	0	0	0	2	0	0	0	0	0	0	240	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	254
OTU_945	0	0	0	0	0	2	3	0	0	0	0	5	4	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	5	1	0	0	0	2
OTU_237	0	0	0	2	0	15	92	0	0	0	0	67	20	15	0	1	1	0	12	0	0	0	1	0	0	1	0	0	63	0	4	0	3	15	95	6	0	0	3	12
OTU_1088	0	0	0	0	2	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	7	0	0	0	0	0	1
OTU_747	0	0	4	1	0	18	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	2	5	16	0	0	0	0
OTU_265	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0
OTU_223	0	0	6	0	0	6	96	0	0	0	1	6	42	42	0	0	0	0	0	0	12	0	0	0	0	0	0	0	89	0	0	0	0	50	5	9	0	0	1	42
OTU_184	0	0	0	0	0	2	2	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	3	4	0	0	0	3
OTU_640	0	0	0	0	0	2	10	0	0	0	0	14	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	12	5	0	0	0	4
OTU_955	0	1	0	0	0	1	3	0	0	0	2	0	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	3	0	0	0	0
OTU_151	168	0	0	220	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	279	0	0	0	219	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0
OTU_599	0	0	0	0	0	0	0	0	0	0	0	0	4	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	3
OTU_165	0	0	3	0	0	16	3	0	0	0	0	18	3	223	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	257	33	11	0	0	0	3
OTU_254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	6	0	0	0	0	7	0	0	2	288	0	0	0	0	0	71	0	1	0
OTU_157	9	1	0	3	0	73	13	4	17	5	3	3	19	208	0	4	0	2	0	6	0	0	0	11	0	10	0	0	17	4	0	3	7	208	2	55	0	0	5	17
OTU_623	0	0	0	0	0	5	5	0	0	0	0	37	10	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	11	48	4	0	0	0	6
OTU_516	0	0	0	0	0	5	9	0	0	0	0	14	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	8	21	3	0	0	0	2
OTU_412	0	0	0	1	0	0	57	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	1	0	0	0	0	0
OTU_187	0	0	0	0	0	25	11	0	0	0	0	41	106	44	0	0	0	1	0	0	0	0	0	3	0	0	0	0	20	0	0	0	0	47	36	28	0	0	0	64
OTU_528	0	0	0	0	0	1	10	0	0	0	0	26	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	21	18	0	0	0	0	2
OTU_1045	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	4
OTU_199	0	0	0	0	0	7	51	0	0	0	0	11	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	160	6	4	0	0	0	0
OTU_734	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	15	7	4	2	2	0	0	0	0
OTU_858	0	0	0	0	0	0	29	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	3	0	0	0	0	0
OTU_229	0	0	0	0	0	1	0	0	0	0	0	134	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	181	0	0	0	0	0
OTU_465	0	0	2	0	0	10	28	0	0	0	0	23	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	13	39	13	0	0	0	19
OTU_477	0	0	0	0	5	0	10	1	0	0	2	0	27	4	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	3	2	0	0	0	0	27
OTU_448	0	0	0	0	17	1	2	0	0	0	0	8	5	3	0	0	2	0	0	0	0	0	0	0	18	0	0	0	3	0	0	0	0	2	9	0	0	0	0	9
OTU_289	0	0	0	0	0	30	2	0	0	0	0	2	2	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	69	5	34	0	0	0	2
OTU_773	0	0	0	0	0	14	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	13	0	0	0	3
OTU_135	0	0	1	1	4	31	49	0	21	6	2	88	174	20	0	0	7	0	0	0	1	0	0	0	3	0	1	0	58	0	1	0	3	29	115	29	1	0	0	195
OTU_576	0	0	0	0	0	1	8	0	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	8	23	3	0	0	0	1
OTU_799	0	0	0	0	1	7	0	0	0	0	2	5	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	3
OTU_258	0	0	1	13	0	0	0	0	0	0	49	0	0	0	0	0	217	0	0	0	2	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_541	0	0	2	2	0	26	0	8	0	0	4	2	17	0	0	0	0	4	0	0	2	0	1	3	0	0	0	0	0	2	0	0	0	2	2	32	0	0	6	16
OTU_931	0	9	0	0	0	0	0	4	6	0	0	0	0	0	0	2	0	7	0	0	0	1	6	1	0	5	3	0	0	2	0	0	0	0	0	0	4	2	1	0
OTU_818	0	0	0	0	0	0	7	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	6	8	0	0	0	0	1
OTU_754	0	0	0	0	0	0	3	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18
OTU_445	0	0	0	0	1	2	4	0	0	0	0	11	8	40	0	0	0	0	0	0	0	0	0	1	2	0	0	0	10	0	0	0	0	43	13	4	0	0	0	5
OTU_733	1	0	0	1	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	9	2	14	1	0	0	0	0	0
OTU_247	0	0	0	0	0	96	41	0	0	0	0	2	19	8	0	18	0	0	0	0	0	1	0	0	0	0	0	0	30	14	0	0	0	3	9	67	0	0	0	14
OTU_714	0	0	0	0	0	0	4	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0
OTU_957	0	5	0	1	0	0	0	0	1	0	1	1	1	0	0	0	2	0	0	0	0	1	3	2	0	0	7	0	0	0	0	0	0	0	0	0	0	2	2	2
OTU_328	2	2	18	6	18	0	34	0	1	0	35	16	6	11	0	0	14	0	1	1	4	0	3	4	29	0	6	0	23	0	4	0	1	19	39	0	1	0	1	4
OTU_416	0	0	0	7	0	14	13	1	0	0	0	26	13	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	20	1	0	0	0	18	16	16	0	0	0	13
OTU_879	0	0	0	0	0	1	6	0	0	5	0	13	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
OTU_566	0	0	0	0	0	6	16	0	1	0	0	10	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	7	22	2	0	0	0	3
OTU_521	0	0	0	0	0	8	25	0	0	0	0	13	9	23	0	0	2	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	24	19	14	0	0	0	11
OTU_636	0	0	0	0	0	2	13	0	0	0	0	5	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	23
OTU_428	16	0	0	12	35	4	8	0	0	2	0	4	5	1	2	0	1	0	0	14	0	0	0	12	48	0	0	0	15	0	0	6	6	1	3	3	0	0	0	2
OTU_522	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0
OTU_631	0	0	0	1	0	3	10	0	0	0	0	8	2	7	0	1	0	0	0	6	0	0	0	0	0	0	0	0	12	1	0	0	0	4	13	6	0	0	0	4
OTU_307	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	11	4	0	0	0	0	0	0	0	0	0	0	0	278	105	0	0	0	0	0	0	0
OTU_537	13	3	0	13	3	4	0	1	2	1	12	5	2	2	5	0	4	2	1	12	3	0	5	9	0	6	9	0	0	5	5	10	1	1	7	12	1	1	2	5
OTU_279	0	0	0	1	0	0	27	0	0	0	0	21	48	9	0	0	0	0	1	1	0	0	0	1	0	0	0	0	17	0	0	0	0	5	36	0	2	0	0	39
OTU_1023	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	1	0	0	0
OTU_798	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0
OTU_398	0	0	0	0	0	0	0	0	0	0	0	0	64	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	58
OTU_639	0	0	0	0	0	0	0	0	0	0	0	7	37	0	0	5	0	1	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	3	0	2	0	0	27
OTU_652	0	0	2	0	18	1	0	0	0	0	4	6	0	0	3	0	18	0	0	0	0	0	0	4	20	0	14	0	0	0	0	2	0	0	0	3	0	3	0	0
OTU_270	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	3	28	0	140	13	0	0	0	0	0	0	0	8	0	0
OTU_869	0	0	0	0	0	0	21	0	0	0	0	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	4	11	4	0	0	0	0
OTU_316	13	0	0	1	1	6	36	0	0	18	0	7	9	3	0	0	0	0	0	42	0	0	0	2	2	0	0	0	22	0	0	2	0	16	10	1	0	0	1	12
OTU_463	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	15	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
OTU_1157	0	0	0	0	1	3	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	14	2	0	0	0	0
OTU_695	0	0	0	0	6	0	8	0	0	0	0	1	0	0	0	0	7	0	0	0	1	0	0	0	12	0	0	0	8	0	0	4	1	2	13	0	0	0	0	0
OTU_1085	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	1	0	0	0	0
OTU_868	2	0	0	0	0	7	14	0	0	0	0	14	7	9	0	1	1	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	13	22	2	0	0	0	11
OTU_290	0	1	4	4	0	0	34	0	0	0	0	0	44	1	0	0	0	0	0	0	1	0	3	3	0	0	0	0	29	0	0	0	0	13	0	0	3	0	0	30
OTU_362	1	1	79	19	3	1	0	1	3	0	22	0	0	0	0	0	17	1	0	5	43	0	0	23	0	4	1	2	0	1	5	0	0	0	0	0	0	4	0	1
OTU_926	0	0	1	0	0	3	17	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	4
OTU_475	0	0	0	1	0	8	42	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	41	0	0	0	0	0	0	6	0	0	0	0
OTU_421	0	6	0	1	0	10	1	3	12	8	0	4	18	0	0	0	0	7	0	0	0	0	8	0	0	1	0	0	3	0	0	5	7	0	9	10	3	0	1	17
OTU_525	1	1	0	2	0	3	1	0	1	0	0	2	6	17	0	0	1	0	0	3	0	0	0	1	0	0	0	0	5	0	0	0	0	18	6	1	0	0	0	2
OTU_994	2	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	6	0	0	0	0	0	0	1	0	0	0	2
OTU_243	2	0	0	2	0	20	46	2	0	0	0	22	18	43	0	0	0	0	0	0	0	0	0	2	0	0	0	0	35	1	0	0	0	55	41	10	4	0	1	13
OTU_399	2	0	0	6	8	0	1	0	0	0	1	0	0	0	0	0	105	0	0	10	0	0	0	6	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU_531	0	1	5	2	0	0	0	0	14	1	10	1	1	0	3	1	0	22	0	2	1	1	1	1	0	18	1	0	0	0	2	1	0	0	1	1	2	0	0	1
OTU_553	0	0	0	0	0	20	7	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	1	0	0	3	8	5	0	0	0	0
OTU_570	0	0	0	1	0	3	29	1	0	0	0	21	28	6	0	0	1	0	0	0	0	0	0	1	0	0	0	0	22	0	0	0	0	11	19	0	0	0	0	27
OTU_388	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0
OTU_777	0	0	0	0	0	0	7	1	0	0	0	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	4	1	0	0	1	5
OTU_697	0	0	0	0	0	0	4	0	0	0	0	11	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	13	0	0	0	0	5
