No,Micro,Genotype,Type,Site,load
bacfun62,bacfun,MH63,Wet,HN,136.942642
bacfun63,bacfun,MH63,Wet,HN,124.1254254
bacfun64,bacfun,MH63,Wet,HN,108.2108857
bacfun65,bacfun,MH63,Wet,HN,105.0135511
bacfun66,bacfun,MH63,Wet,HN,142.0667885
bacfun67,bacfun,MH63,Wet,HN,117.3628479
bacfun68,bacfun,MH63,Wet,HN,122.0911622
bacfun69,bacfun,MH63,Wet,HN,121.4937829
bacfun70,bacfun,MH63,Wet,HN,176.2448089
bacfun71,bacfun,MH63,Wet,HN,183.9807632
bacfun72,bacfun,MH63,Wet,HN,78.21624148
bacfun73,bacfun,WYJ,Dry,HN,868.3728083
bacfun74,bacfun,WYJ,Dry,HN,491.3205597
bacfun75,bacfun,WYJ,Dry,HN,547.9007505
bacfun76,bacfun,WYJ,Dry,HN,754.3747798
bacfun77,bacfun,WYJ,Dry,HN,372.1508695
bacfun78,bacfun,WYJ,Dry,HN,252.7672928
bacfun79,bacfun,WYJ,Dry,HN,569.7309194
bacfun80,bacfun,WYJ,Dry,HN,415.0177363
bacfun81,bacfun,WYJ,Dry,HN,510.9457444
bacfun82,bacfun,WYJ,Dry,HN,326.4780445
bacfun83,bacfun,WYJ,Dry,HN,474.4615621
bacfun84,bacfun,WYJ,Wet,HN,187.1227609
bacfun85,bacfun,WYJ,Wet,HN,152.1110366
bacfun86,bacfun,WYJ,Wet,HN,135.387549
bacfun87,bacfun,WYJ,Wet,HN,78.98591001
bacfun88,bacfun,WYJ,Wet,HN,203.8990904
bacfun89,bacfun,WYJ,Wet,HN,102.3887878
bacfun90,bacfun,WYJ,Wet,HN,104.0865972
bacfun91,bacfun,WYJ,Wet,HN,115.1550287
bacfun92,bacfun,WYJ,Wet,HN,175.4024205
bacfun93,bacfun,WYJ,Wet,HN,140.7272465
bacfun94,bacfun,WYJ,Wet,HN,133.1514585
bacfun95,bacfun,WYJ,Wet,HN,126.6931819
bacfun96,bacfun,WYJ,Wet,HN,67.21782281
